Season;Team;Player;Matches_Played;Goals;Assists;Shots;Passes_Completed;Tackles;Yellow_Cards;Red_Cards;Minutes_Played;Offsides;Fouls;Clean_Sheets
2018/19;Chelsea;Player_332;23;6;1;65;801;33;0;2;1478;8;4;12
2016/17;Chelsea;Player_333;6;8;8;97;392;45;2;1;3346;14;5;12
2017/18;Real Madrid;Player_334;9;15;0;78;508;41;3;0;2597;7;6;1
2019/20;Juventus;Player_335;9;10;15;85;953;31;6;0;2825;9;3;3
2021/22;Paris Saint-Germain;Player_336;18;18;19;41;834;15;6;0;1133;9;8;12
2018/19;Liverpool;Player_337;19;2;13;11;569;30;9;2;2432;8;6;10
2019/20;Juventus;Player_338;27;5;11;62;787;24;6;1;2521;10;7;0
2016/17;Manchester United;Player_339;5;26;9;88;762;17;4;2;2302;6;6;7
2020/21;Liverpool;Player_340;7;14;8;25;256;5;2;0;2112;8;8;10
2019/20;Juventus;Player_341;10;25;16;33;630;31;3;0;2897;12;8;1
2016/17;Chelsea;Player_342;25;8;13;18;762;35;3;2;1858;3;3;6
2021/22;Barcelona;Player_343;21;19;2;15;907;21;2;2;284;8;6;3
2022/23;Bayern Munich;Player_344;3;25;6;62;124;22;8;2;2893;14;5;10
2020/21;Manchester United;Player_345;1;9;12;70;156;8;9;0;414;6;9;8
2017/18;Chelsea;Player_346;9;0;6;18;355;17;8;0;2922;13;2;14
2018/19;Juventus;Player_347;11;1;1;20;173;24;4;1;1566;14;7;11
2018/19;Juventus;Player_348;30;1;8;71;918;14;8;0;707;0;6;1
2018/19;Paris Saint-Germain;Player_349;23;17;15;95;450;46;3;2;3342;11;0;8
2017/18;Paris Saint-Germain;Player_350;29;5;18;62;312;26;3;2;635;0;4;4
2018/19;Manchester United;Player_351;29;13;5;14;864;43;1;1;2173;7;4;0
2019/20;Juventus;Player_352;20;7;13;57;174;28;0;2;3450;6;0;13
2022/23;Chelsea;Player_353;4;25;10;82;348;39;9;1;2200;1;3;5
2017/18;Barcelona;Player_354;22;5;11;65;474;35;4;0;1172;0;9;14
2017/18;Real Madrid;Player_355;15;24;10;70;693;35;7;1;1449;8;6;2
2020/21;Bayern Munich;Player_356;2;27;4;20;709;7;8;2;2342;5;3;8
2016/17;Real Madrid;Player_357;26;14;4;17;130;31;2;1;2364;7;2;2
2017/18;Paris Saint-Germain;Player_358;26;23;13;54;507;24;2;2;1137;10;0;14
2022/23;Bayern Munich;Player_359;1;4;3;29;298;14;8;1;3375;7;1;1
2016/17;Barcelona;Player_360;24;11;13;94;186;38;2;0;1904;4;8;13
2018/19;Chelsea;Player_361;7;14;2;30;799;16;9;2;3132;12;5;10
2017/18;Manchester United;Player_362;33;17;19;79;365;34;1;2;1811;11;9;12
2017/18;Juventus;Player_363;36;28;7;67;813;35;8;2;1537;9;9;2
2019/20;Real Madrid;Player_364;19;29;2;48;298;27;2;0;723;11;4;2
2020/21;Juventus;Player_365;39;29;13;20;802;39;2;1;478;7;4;12
2019/20;Barcelona;Player_366;7;15;17;26;646;27;8;0;2566;9;5;7
2017/18;Chelsea;Player_367;18;22;19;94;489;46;4;1;1724;8;5;4
2016/17;Paris Saint-Germain;Player_368;35;0;19;88;134;22;5;1;122;8;3;12
2022/23;Real Madrid;Player_369;30;6;0;61;397;41;7;0;525;8;4;3
2022/23;Chelsea;Player_370;14;1;5;36;100;41;8;1;637;8;3;14
2016/17;Manchester United;Player_371;19;7;6;99;956;28;5;0;486;5;7;6
2016/17;Manchester United;Player_372;4;5;1;72;834;23;1;0;2358;3;5;1
2021/22;Chelsea;Player_373;26;23;2;96;361;19;6;0;609;4;8;13
2017/18;Real Madrid;Player_374;19;11;2;15;694;41;7;1;2271;14;1;3
2017/18;Manchester United;Player_375;2;17;6;79;193;15;1;2;2388;5;2;2
2020/21;Paris Saint-Germain;Player_376;35;11;5;91;878;8;4;2;1890;12;1;6
2021/22;Real Madrid;Player_377;24;20;19;31;991;24;4;0;3189;3;3;7
2016/17;Bayern Munich;Player_378;22;26;4;87;519;32;4;1;1167;2;8;13
2016/17;Paris Saint-Germain;Player_379;34;8;8;29;324;18;7;2;2601;10;0;3
2021/22;Manchester United;Player_380;4;0;9;49;347;38;3;0;2978;8;5;8
2021/22;Barcelona;Player_381;7;18;18;92;175;11;0;0;2954;6;7;8
2017/18;Manchester United;Player_382;12;25;6;83;606;14;6;0;1812;11;6;1
2022/23;Barcelona;Player_383;29;26;2;23;484;48;2;1;2233;3;6;6
2018/19;Bayern Munich;Player_384;27;20;17;94;599;18;9;2;792;9;1;1
2019/20;Bayern Munich;Player_385;15;11;15;88;952;40;9;1;2968;12;6;6
2019/20;Real Madrid;Player_386;14;19;16;22;396;20;9;0;254;2;5;6
2022/23;Manchester United;Player_387;39;19;5;14;103;44;3;2;125;13;6;9
2019/20;Liverpool;Player_388;36;11;9;89;723;10;1;2;2450;13;3;7
2020/21;Liverpool;Player_389;15;1;8;54;879;39;8;1;2376;5;8;3
2018/19;Chelsea;Player_390;1;0;5;17;197;29;6;0;636;3;9;2
2020/21;Bayern Munich;Player_391;12;26;15;39;942;19;8;0;2469;0;6;0
2022/23;Chelsea;Player_392;2;18;14;65;373;29;0;0;1630;6;5;6
2020/21;Paris Saint-Germain;Player_393;14;9;9;47;631;45;8;2;3232;1;6;5
2016/17;Chelsea;Player_394;35;23;10;63;147;27;4;1;2181;9;4;14
2022/23;Barcelona;Player_395;6;10;8;27;442;20;0;2;565;3;7;13
2020/21;Paris Saint-Germain;Player_396;26;16;9;30;846;26;9;0;2106;5;5;4
2019/20;Juventus;Player_397;1;27;7;48;438;5;7;1;3405;8;7;13
2018/19;Bayern Munich;Player_398;29;26;5;12;924;7;6;0;801;14;4;12
2016/17;Barcelona;Player_399;6;17;8;11;292;19;8;0;2438;8;5;0
2021/22;Chelsea;Player_400;3;22;15;87;725;44;1;1;2061;10;0;8
2016/17;Juventus;Player_401;27;11;1;44;117;15;3;2;1180;7;8;2
2017/18;Paris Saint-Germain;Player_402;16;28;8;20;806;11;3;1;935;7;4;6
2020/21;Liverpool;Player_403;2;12;19;77;379;36;6;1;100;10;3;2
2021/22;Juventus;Player_404;31;7;9;88;121;17;9;0;2535;1;1;7
2021/22;Barcelona;Player_405;16;28;4;71;167;49;5;2;922;10;9;0
2020/21;Manchester United;Player_406;35;9;15;79;583;40;6;0;799;4;6;3
2017/18;Bayern Munich;Player_407;29;12;18;86;240;30;4;1;486;14;8;2
2021/22;Paris Saint-Germain;Player_408;16;27;8;35;108;45;7;2;259;11;0;7
2016/17;Paris Saint-Germain;Player_409;4;3;14;22;176;9;6;2;2053;14;8;1
2018/19;Juventus;Player_410;28;13;15;97;414;37;0;2;1137;12;5;6
2022/23;Manchester United;Player_411;4;18;5;36;954;18;3;2;2722;6;0;7
2017/18;Real Madrid;Player_412;27;28;15;79;465;14;4;2;3047;4;4;8
2021/22;Chelsea;Player_413;38;0;9;64;390;19;3;1;2084;13;9;4
2019/20;Barcelona;Player_414;23;18;19;37;584;49;0;0;1841;5;1;10
2017/18;Paris Saint-Germain;Player_415;14;12;4;46;115;29;8;1;2342;4;9;10
2019/20;Juventus;Player_416;13;19;3;75;472;33;7;1;526;4;9;9
2021/22;Manchester United;Player_417;34;25;9;48;892;13;1;2;1190;4;3;11
2022/23;Manchester United;Player_418;31;14;15;58;167;16;3;1;3285;11;0;4
2019/20;Juventus;Player_419;2;9;19;64;414;26;7;2;1880;1;1;12
2019/20;Juventus;Player_420;19;14;19;55;244;15;6;0;1348;14;9;4
2016/17;Chelsea;Player_421;3;5;17;40;719;5;7;0;359;14;3;6
2019/20;Chelsea;Player_422;32;6;4;74;185;19;6;0;2491;8;9;8
2021/22;Juventus;Player_423;14;5;5;48;721;35;7;2;1890;13;3;5
2022/23;Chelsea;Player_424;26;12;3;88;918;39;5;0;1534;2;2;6
2021/22;Manchester United;Player_425;31;5;15;89;943;24;9;1;3006;5;2;12
2016/17;Real Madrid;Player_426;5;4;17;41;402;41;9;0;1438;14;5;0
2019/20;Barcelona;Player_427;36;28;0;95;658;19;6;2;3514;7;3;4
2021/22;Barcelona;Player_428;24;25;9;65;826;7;8;0;905;13;9;8
2022/23;Barcelona;Player_429;34;21;7;15;351;35;7;1;1506;13;4;10
2020/21;Juventus;Player_430;6;27;11;31;670;24;2;0;1704;1;9;10
2021/22;Paris Saint-Germain;Player_431;23;7;3;63;874;32;7;1;2338;6;4;10
2017/18;Chelsea;Player_432;6;22;16;88;139;48;8;1;1982;0;2;7
2016/17;Barcelona;Player_433;15;8;10;54;239;9;2;2;933;14;0;12
2018/19;Barcelona;Player_434;12;9;9;17;343;21;4;2;3035;9;7;9
2018/19;Barcelona;Player_435;37;17;13;30;492;23;0;2;658;0;0;14
2020/21;Bayern Munich;Player_436;17;4;17;66;413;32;6;2;2048;4;4;11
2018/19;Manchester United;Player_437;22;16;3;92;160;23;6;2;263;2;8;12
2022/23;Paris Saint-Germain;Player_438;21;16;15;30;206;9;9;1;601;4;7;4
2022/23;Bayern Munich;Player_439;23;4;1;25;449;20;7;0;1959;14;0;1
2017/18;Barcelona;Player_440;30;8;13;98;702;9;0;0;3382;12;6;7
2021/22;Liverpool;Player_441;38;23;1;11;913;23;0;2;2977;6;2;3
2018/19;Manchester United;Player_442;28;3;14;63;892;46;6;0;1218;14;4;11
2017/18;Bayern Munich;Player_443;23;9;17;62;792;39;2;2;1584;0;4;2
2017/18;Bayern Munich;Player_444;23;14;9;77;722;32;8;0;1813;12;8;0
2020/21;Paris Saint-Germain;Player_445;29;23;10;19;653;25;0;2;2069;9;8;8
2019/20;Liverpool;Player_446;12;26;18;66;649;45;8;1;1873;7;7;14
2021/22;Juventus;Player_447;10;29;12;29;350;39;4;0;3129;2;7;3
2020/21;Real Madrid;Player_448;5;4;3;93;607;7;9;1;1068;2;6;14
2020/21;Bayern Munich;Player_449;31;17;3;58;956;20;5;2;874;9;3;3
2019/20;Manchester United;Player_450;16;1;8;97;384;13;9;0;2065;0;8;9
2016/17;Liverpool;Player_451;16;21;6;20;167;35;1;1;198;9;6;5
2021/22;Paris Saint-Germain;Player_452;32;8;3;52;576;32;6;1;1902;6;6;0
2021/22;Manchester United;Player_453;22;25;1;74;576;16;9;2;3050;1;5;4
2016/17;Chelsea;Player_454;20;28;16;97;569;16;7;0;1687;0;4;3
2021/22;Bayern Munich;Player_455;9;11;4;81;343;30;6;0;2742;8;0;4
2019/20;Paris Saint-Germain;Player_456;15;16;10;81;583;39;2;2;1084;9;1;0
2016/17;Juventus;Player_457;14;24;7;87;832;14;3;0;2505;8;6;0
2022/23;Real Madrid;Player_458;22;7;19;99;727;45;2;0;1568;3;0;5
2022/23;Paris Saint-Germain;Player_459;33;17;17;98;613;42;4;1;3389;2;2;3
2021/22;Barcelona;Player_460;1;9;8;10;394;29;1;2;2626;0;0;12
2020/21;Chelsea;Player_461;30;28;7;42;234;8;7;1;3514;5;3;4
2017/18;Juventus;Player_462;28;21;18;79;674;11;3;1;2094;1;1;4
2020/21;Juventus;Player_463;16;25;0;67;574;20;8;1;2943;4;7;10
2020/21;Barcelona;Player_464;19;13;6;43;263;12;0;2;1421;4;1;4
2021/22;Chelsea;Player_465;36;19;12;55;176;48;7;2;3232;8;6;14
2022/23;Bayern Munich;Player_466;21;3;18;32;619;21;9;1;3466;3;7;5
2019/20;Bayern Munich;Player_467;5;23;18;61;270;5;9;2;3067;1;3;4
2018/19;Real Madrid;Player_468;10;29;4;86;154;10;0;0;2624;3;0;9
2018/19;Barcelona;Player_469;15;11;17;61;307;46;7;1;2761;5;7;1
2021/22;Manchester United;Player_470;10;0;5;50;322;31;6;1;438;5;0;0
2022/23;Manchester United;Player_471;21;3;15;27;238;21;8;1;728;8;6;14
2020/21;Manchester United;Player_472;11;14;8;99;909;37;1;2;3221;7;0;9
2018/19;Bayern Munich;Player_473;12;25;18;77;663;17;8;0;1111;7;1;11
2019/20;Juventus;Player_474;10;11;6;38;490;34;2;1;596;13;9;11
2022/23;Paris Saint-Germain;Player_475;34;23;18;71;678;6;4;0;3232;0;2;0
2022/23;Juventus;Player_476;22;10;12;86;201;17;8;0;3332;8;5;6
2020/21;Paris Saint-Germain;Player_477;4;25;2;26;325;14;5;0;1815;9;0;8
2019/20;Chelsea;Player_478;31;27;0;89;284;37;4;0;1281;6;4;9
2020/21;Chelsea;Player_479;1;26;1;96;359;49;0;0;3151;2;1;10
2017/18;Paris Saint-Germain;Player_480;27;21;3;30;373;39;1;0;3285;14;8;2
2018/19;Manchester United;Player_481;26;10;19;98;883;39;6;1;1381;9;5;0
2016/17;Liverpool;Player_482;8;29;9;60;236;28;6;0;1064;13;1;0
2016/17;Liverpool;Player_483;12;2;8;16;983;10;3;1;2584;5;1;11
2021/22;Juventus;Player_484;24;28;14;65;160;38;0;0;1341;3;9;13
2016/17;Barcelona;Player_485;23;12;19;52;526;18;4;2;2067;6;7;5
2019/20;Bayern Munich;Player_486;33;0;14;49;697;21;9;2;1446;2;4;0
2022/23;Chelsea;Player_487;6;1;4;54;392;40;4;1;260;8;3;13
2018/19;Liverpool;Player_488;10;14;1;34;203;29;3;0;148;12;6;10
2016/17;Bayern Munich;Player_489;11;2;3;76;182;19;4;2;1797;11;1;11
2020/21;Paris Saint-Germain;Player_490;34;6;17;33;469;42;0;0;1535;3;7;4
2019/20;Manchester United;Player_491;30;24;17;57;369;23;9;1;1919;2;5;1
2017/18;Liverpool;Player_492;26;13;14;69;361;8;6;0;2295;6;4;14
2020/21;Juventus;Player_493;24;26;5;94;643;17;2;2;136;0;6;1
2019/20;Chelsea;Player_494;10;9;4;57;726;21;7;0;1453;4;5;9
2020/21;Bayern Munich;Player_495;9;9;18;96;214;16;1;1;3167;7;8;4
2019/20;Barcelona;Player_496;23;11;7;69;258;21;8;0;2363;2;1;13
2020/21;Chelsea;Player_497;34;11;3;13;413;24;0;0;1098;7;1;8
2020/21;Real Madrid;Player_498;7;7;1;30;812;38;7;2;2274;7;6;3
2016/17;Paris Saint-Germain;Player_499;36;1;9;33;801;21;8;1;3258;10;4;6
2020/21;Chelsea;Player_500;38;2;8;84;207;43;1;1;3423;3;9;14
2021/22;Real Madrid;Player_501;22;8;0;53;981;23;4;2;280;1;7;9
2018/19;Manchester United;Player_502;7;7;14;53;515;12;0;2;2274;10;6;10
2021/22;Bayern Munich;Player_503;32;25;1;31;635;9;2;0;3252;14;1;7
2017/18;Chelsea;Player_504;32;6;18;47;715;7;5;1;3465;6;3;6
2016/17;Barcelona;Player_505;23;23;0;65;712;44;9;0;700;10;5;10
2022/23;Barcelona;Player_506;32;10;4;99;840;21;3;0;3010;6;1;6
2016/17;Barcelona;Player_507;32;14;15;30;759;46;3;2;313;12;2;2
2016/17;Chelsea;Player_508;35;27;6;74;735;33;2;2;1374;7;0;5
2019/20;Manchester United;Player_509;32;23;19;76;844;17;1;0;2065;1;7;7
2022/23;Bayern Munich;Player_510;20;8;5;61;993;11;7;1;1787;7;1;9
2021/22;Bayern Munich;Player_511;11;1;0;24;862;14;6;2;346;10;7;7
2019/20;Manchester United;Player_512;24;6;16;19;130;26;4;0;3500;7;3;14
2018/19;Chelsea;Player_513;9;25;13;40;572;25;4;2;424;14;6;8
2020/21;Chelsea;Player_514;25;14;7;29;546;45;9;1;1745;2;9;5
2017/18;Liverpool;Player_515;35;26;4;29;173;16;0;2;1595;4;9;3
2021/22;Real Madrid;Player_516;35;2;13;79;487;38;2;2;2943;6;7;3
2019/20;Barcelona;Player_517;20;1;15;49;275;20;9;0;2042;1;4;8
2022/23;Real Madrid;Player_518;23;15;12;57;645;37;6;1;127;2;6;1
2021/22;Liverpool;Player_519;30;28;6;49;327;28;7;2;2671;1;3;14
2019/20;Bayern Munich;Player_520;22;19;10;32;912;36;8;1;2920;10;5;9
2018/19;Juventus;Player_521;16;1;9;50;383;31;8;0;2580;10;4;0
2018/19;Barcelona;Player_522;36;13;11;12;452;22;7;1;1399;4;0;14
2017/18;Manchester United;Player_523;19;27;11;67;470;49;5;2;1517;3;7;8
2021/22;Real Madrid;Player_524;25;0;18;30;476;25;8;0;279;4;3;4
2022/23;Liverpool;Player_525;20;21;3;99;581;35;9;2;2834;0;6;12
2019/20;Bayern Munich;Player_526;20;18;10;59;269;21;5;0;294;14;5;12
2021/22;Real Madrid;Player_527;32;11;3;41;536;11;9;0;1246;2;0;5
2022/23;Juventus;Player_528;15;24;2;98;232;17;7;0;1371;5;0;13
2018/19;Barcelona;Player_529;13;5;3;27;924;12;0;2;2970;10;8;1
2017/18;Juventus;Player_530;24;3;9;86;855;18;6;2;3139;2;2;14
2022/23;Paris Saint-Germain;Player_531;31;25;1;84;621;19;3;0;1589;12;7;12
2016/17;Liverpool;Player_532;18;6;14;97;988;24;9;2;1222;4;2;12
2018/19;Liverpool;Player_533;24;20;4;84;350;10;6;1;2031;6;1;8
2021/22;Manchester United;Player_534;10;25;1;52;822;28;0;2;3030;6;9;6
2021/22;Barcelona;Player_535;17;13;6;27;623;33;0;0;1331;10;8;11
2018/19;Manchester United;Player_536;7;13;15;43;592;35;1;1;503;5;2;12
2019/20;Real Madrid;Player_537;35;14;13;51;442;42;4;2;2901;14;2;4
2022/23;Manchester United;Player_538;7;3;12;15;249;22;4;1;1149;7;4;2
2019/20;Manchester United;Player_539;8;15;6;18;706;6;9;2;2368;11;0;3
2022/23;Juventus;Player_540;37;23;9;44;417;42;6;2;1155;3;5;12
2022/23;Paris Saint-Germain;Player_541;30;20;11;38;400;6;6;0;1336;11;6;14
2019/20;Bayern Munich;Player_542;14;0;2;20;306;12;0;0;2439;6;5;13
2016/17;Manchester United;Player_543;34;14;16;11;712;22;6;1;1090;0;6;11
2022/23;Liverpool;Player_544;27;3;14;72;157;48;1;2;201;1;4;7
2022/23;Chelsea;Player_545;8;15;10;75;422;35;4;0;3384;5;1;2
2021/22;Chelsea;Player_546;18;6;18;83;173;25;2;0;1216;8;6;11
2016/17;Liverpool;Player_547;21;3;11;14;797;41;7;1;136;13;4;12
2021/22;Juventus;Player_548;24;10;9;29;544;14;9;2;1624;8;8;0
2016/17;Barcelona;Player_549;26;25;12;16;743;44;1;2;694;5;9;7
2022/23;Bayern Munich;Player_550;8;25;4;86;589;12;7;2;2840;11;9;1
2017/18;Real Madrid;Player_551;4;5;6;82;671;28;9;1;1426;4;3;9
2018/19;Paris Saint-Germain;Player_552;12;15;0;24;813;21;4;0;1692;5;3;1
2018/19;Bayern Munich;Player_553;9;19;0;40;369;19;0;2;1226;1;8;1
2018/19;Barcelona;Player_554;33;0;12;16;502;28;8;2;3334;5;3;1
2018/19;Barcelona;Player_555;26;26;15;27;517;14;0;0;2379;14;5;4
2020/21;Manchester United;Player_556;22;22;3;21;419;35;0;1;1030;0;6;0
2019/20;Manchester United;Player_557;17;23;10;28;361;9;5;2;785;2;9;0
2016/17;Paris Saint-Germain;Player_558;25;10;3;94;872;17;0;0;2646;13;9;6
2018/19;Paris Saint-Germain;Player_559;19;25;5;35;127;41;0;1;2149;1;3;11
2022/23;Paris Saint-Germain;Player_560;35;23;3;51;850;40;3;2;2358;4;5;7
2022/23;Real Madrid;Player_561;19;11;13;84;849;47;7;2;1991;14;5;3
2022/23;Chelsea;Player_562;17;4;0;72;540;38;5;1;2629;11;4;10
2019/20;Manchester United;Player_563;5;11;18;75;850;17;2;0;453;9;6;5
2021/22;Bayern Munich;Player_564;34;13;2;93;124;16;2;0;2768;3;5;6
2016/17;Manchester United;Player_565;20;23;17;18;988;34;6;2;898;4;3;3
2020/21;Liverpool;Player_566;9;7;2;64;388;5;9;0;1166;12;9;6
2018/19;Real Madrid;Player_567;19;9;6;82;472;32;5;2;805;5;3;4
2019/20;Manchester United;Player_568;32;19;9;62;953;9;0;1;943;2;3;10
2022/23;Juventus;Player_569;12;16;0;72;584;17;5;1;3278;13;0;11
2017/18;Barcelona;Player_570;16;7;12;43;741;38;5;2;2018;9;7;14
2021/22;Bayern Munich;Player_571;9;21;1;68;604;47;5;1;433;12;9;9
2017/18;Chelsea;Player_572;10;18;0;68;530;35;3;0;3149;12;9;8
2021/22;Barcelona;Player_573;15;26;5;97;772;38;3;1;2821;2;9;4
2021/22;Bayern Munich;Player_574;13;17;8;45;433;48;9;1;2650;0;7;7
2021/22;Liverpool;Player_575;11;25;1;72;805;18;0;2;409;10;6;13
2017/18;Manchester United;Player_576;15;29;7;77;882;22;9;1;2100;11;4;0
2018/19;Barcelona;Player_577;30;4;16;16;258;44;2;1;3255;0;9;6
2016/17;Juventus;Player_578;19;8;15;47;754;37;1;1;1462;12;5;0
2019/20;Liverpool;Player_579;38;7;10;93;190;38;2;1;1914;2;4;2
2020/21;Liverpool;Player_580;19;8;11;71;805;12;9;0;1790;12;4;6
2022/23;Liverpool;Player_581;9;13;9;20;652;29;2;2;2709;3;6;3
2016/17;Bayern Munich;Player_582;13;10;18;86;917;49;0;1;3588;7;9;2
2019/20;Paris Saint-Germain;Player_583;14;3;14;62;739;9;7;2;3105;11;8;3
2022/23;Bayern Munich;Player_584;13;18;8;71;373;38;3;2;340;11;5;9
2022/23;Paris Saint-Germain;Player_585;30;26;9;59;491;11;7;2;3183;2;9;10
2019/20;Real Madrid;Player_586;27;13;17;80;507;18;6;2;2144;2;9;5
2022/23;Manchester United;Player_587;36;18;18;20;768;48;1;0;2268;5;8;4
2022/23;Real Madrid;Player_588;4;5;18;87;167;25;3;0;1102;6;6;4
2021/22;Chelsea;Player_589;14;25;16;98;190;28;0;2;3226;10;1;8
2022/23;Liverpool;Player_590;26;5;13;82;871;43;3;0;817;0;4;3
2016/17;Paris Saint-Germain;Player_591;11;29;2;49;785;15;2;1;771;7;2;10
2021/22;Real Madrid;Player_592;1;29;18;85;619;45;9;1;2448;1;7;0
2019/20;Real Madrid;Player_593;12;17;13;67;151;40;6;2;2406;10;7;8
2017/18;Liverpool;Player_594;25;22;6;53;750;48;2;0;2089;4;9;10
2016/17;Manchester United;Player_595;20;1;15;72;963;11;2;2;1714;4;6;14
2022/23;Chelsea;Player_596;21;16;19;13;543;47;1;1;3417;12;7;0
2019/20;Liverpool;Player_597;20;10;1;19;387;38;6;2;3362;13;8;1
2020/21;Barcelona;Player_598;7;6;1;41;793;48;4;1;1058;4;0;11
2022/23;Paris Saint-Germain;Player_599;27;8;16;42;326;48;3;2;3398;12;8;7
2020/21;Real Madrid;Player_600;29;23;17;21;176;44;0;2;1439;4;4;9
2016/17;Chelsea;Player_601;2;19;12;26;171;37;7;0;1655;2;9;9
2020/21;Barcelona;Player_602;20;10;17;64;558;44;7;1;2909;5;0;5
2022/23;Barcelona;Player_603;13;10;14;65;741;29;0;2;2317;0;4;13
2018/19;Liverpool;Player_604;23;29;0;13;973;14;8;1;508;14;9;5
2018/19;Real Madrid;Player_605;12;28;13;63;414;12;3;0;584;3;1;0
2020/21;Juventus;Player_606;9;11;15;29;271;35;6;1;3435;13;7;10
2022/23;Bayern Munich;Player_607;35;2;4;70;558;14;3;0;2516;0;6;13
2019/20;Juventus;Player_608;13;21;9;20;773;43;4;2;3584;0;4;1
2021/22;Manchester United;Player_609;6;7;10;33;417;41;9;2;1858;9;8;1
2016/17;Paris Saint-Germain;Player_610;1;7;8;22;197;24;2;1;2095;14;3;6
2020/21;Manchester United;Player_611;9;2;3;73;892;22;5;0;3307;2;5;5
2019/20;Manchester United;Player_612;13;21;6;93;910;35;9;1;1682;6;3;1
2020/21;Chelsea;Player_613;30;28;4;52;119;11;0;1;198;8;4;9
2019/20;Liverpool;Player_614;15;4;16;92;821;13;2;1;350;7;9;11
2019/20;Manchester United;Player_615;24;8;6;64;268;30;7;0;2836;14;4;12
2016/17;Juventus;Player_616;28;15;13;32;593;43;0;1;317;5;5;1
2019/20;Juventus;Player_617;4;8;19;97;530;21;4;2;1172;9;1;11
2022/23;Manchester United;Player_618;32;15;19;86;678;8;0;0;3094;2;9;14
2019/20;Bayern Munich;Player_619;11;23;11;26;762;36;5;0;2916;7;4;7
2021/22;Liverpool;Player_620;20;2;6;67;992;17;6;2;3549;5;4;11
2018/19;Liverpool;Player_621;22;8;19;95;701;29;1;0;2405;9;8;4
2019/20;Juventus;Player_622;31;2;4;42;116;9;9;1;951;7;2;9
2020/21;Liverpool;Player_623;10;19;18;51;416;22;8;2;2570;0;9;8
2021/22;Chelsea;Player_624;24;17;10;11;200;38;2;2;2308;3;3;2
2017/18;Liverpool;Player_625;19;12;6;57;168;48;6;2;710;14;9;0
2022/23;Barcelona;Player_626;32;25;14;88;604;6;7;0;2423;9;9;8
2020/21;Liverpool;Player_627;17;8;13;57;893;43;5;2;3045;3;5;13
2021/22;Bayern Munich;Player_628;6;1;10;15;712;43;1;1;569;1;3;11
2018/19;Real Madrid;Player_629;2;17;0;64;876;21;4;2;496;7;1;6
2016/17;Manchester United;Player_630;32;27;6;67;875;39;6;1;3557;7;0;2
2020/21;Barcelona;Player_631;12;5;10;60;278;36;0;2;234;9;1;5
2019/20;Bayern Munich;Player_632;39;1;12;93;698;32;3;0;1337;12;3;6
2018/19;Barcelona;Player_633;10;2;8;47;132;28;3;0;3481;14;7;3
2021/22;Paris Saint-Germain;Player_634;36;29;16;16;665;29;3;1;2742;14;1;14
2020/21;Chelsea;Player_635;15;2;8;21;808;42;5;0;2449;2;2;6
2021/22;Chelsea;Player_636;13;14;18;91;644;6;2;1;400;5;0;13
2019/20;Paris Saint-Germain;Player_637;24;6;10;60;940;30;7;0;1441;12;8;2
2018/19;Juventus;Player_638;28;8;2;69;980;39;1;0;1354;4;9;12
2018/19;Chelsea;Player_639;36;17;5;50;534;47;8;1;225;11;0;6
2016/17;Liverpool;Player_640;9;23;1;79;418;14;7;2;2659;9;0;12
2018/19;Paris Saint-Germain;Player_641;14;28;0;93;422;45;0;0;515;13;6;0
2016/17;Paris Saint-Germain;Player_642;8;12;4;48;431;5;6;2;3576;10;7;10
2017/18;Chelsea;Player_643;30;8;5;24;159;29;4;1;3248;10;6;1
2020/21;Liverpool;Player_644;34;17;19;59;568;16;7;0;1923;10;4;12
2022/23;Liverpool;Player_645;14;22;11;70;480;44;5;0;3513;12;9;13
2020/21;Manchester United;Player_646;10;15;1;42;346;36;2;0;1314;14;0;10
2017/18;Paris Saint-Germain;Player_647;19;16;17;81;293;42;1;1;2249;1;1;7
2021/22;Barcelona;Player_648;19;19;4;69;445;12;2;1;92;5;9;14
2019/20;Liverpool;Player_649;1;20;17;35;132;40;0;2;305;8;4;9
2022/23;Liverpool;Player_650;13;16;1;66;580;26;9;2;1281;10;1;5
2020/21;Real Madrid;Player_651;31;27;9;32;950;10;4;2;2864;2;8;13
2020/21;Manchester United;Player_652;18;16;14;22;315;43;2;2;1027;0;6;14
2018/19;Barcelona;Player_653;35;0;8;94;894;47;0;2;1185;6;5;5
2021/22;Manchester United;Player_654;38;12;3;37;281;36;5;1;2042;11;8;14
2021/22;Real Madrid;Player_655;24;16;0;96;781;22;2;2;1156;8;6;14
2017/18;Real Madrid;Player_656;23;7;7;93;410;31;8;2;2555;5;7;1
2016/17;Liverpool;Player_657;5;3;0;34;409;36;3;2;3141;5;6;11
2017/18;Barcelona;Player_658;3;25;12;94;946;42;4;1;1862;1;3;11
2021/22;Juventus;Player_659;16;16;7;70;156;14;6;0;1774;10;5;1
2017/18;Barcelona;Player_660;29;23;3;35;397;45;7;1;469;2;2;13
2022/23;Juventus;Player_661;13;18;12;13;890;15;2;1;2397;2;6;2
2021/22;Juventus;Player_662;33;25;13;87;419;28;1;0;272;5;6;1
2016/17;Liverpool;Player_663;15;19;15;29;585;20;3;0;1883;3;9;5
2017/18;Real Madrid;Player_664;21;10;19;33;640;13;5;2;813;6;9;6
2020/21;Liverpool;Player_665;33;14;19;97;617;28;5;1;2823;5;0;6
